  M        P_0      s_P_0    P_Forward_disp    s_P_Forward_disp    P_Forward_sample_disp    s_P_Forward_sample_disp    P_MLD_disp    s_P_MLD_disp
  1  0.0225257  0.0675097         0.0230279           0.0709706                0.0232971                  0.072757      0.0223918       0.0665554
  2  0.0404927  0.126519          0.0321518           0.0909514                0.0324686                  0.0925664     0.0295799       0.0765444
  3  0.059298   0.17066           0.0380959           0.0999378                0.0384602                  0.101607      0.0344509       0.0812836
  4  0.0851816  0.215287          0.0468847           0.114496                 0.0471645                  0.115598      0.0414844       0.0904779
  5  0.106139   0.243407          0.0538757           0.123883                 0.0540401                  0.124473      0.0467932       0.0947494
  6  0.129213   0.269777          0.0614646           0.133975                 0.061482                   0.134032      0.052302        0.0991419
  7  0.155065   0.294421          0.0695053           0.142611                 0.0699024                  0.143804      0.0588221       0.105003
  8  0.17579    0.311342          0.0764874           0.150609                 0.076957                   0.151923      0.0637227       0.108203
  9  0.194933   0.324938          0.0833114           0.15818                  0.083238                   0.157986      0.0684234       0.111319
 10  0.210244   0.334631          0.088102            0.1621                   0.0884951                  0.163096      0.0719788       0.112847
