  M        P_0     s_P_0    P_Forward_disp    s_P_Forward_disp    P_Forward_sample_disp    s_P_Forward_sample_disp    P_MLD_disp    s_P_MLD_disp
  1  0.0889048  0.123379         0.0988984            0.152771                 0.100017                   0.155675     0.0874083        0.118278
  2  0.131524   0.167717         0.132729             0.170339                 0.133763                   0.172553     0.11583          0.127739
  3  0.172472   0.203268         0.164179             0.189253                 0.165763                   0.192038     0.137782         0.131874
  4  0.209328   0.224231         0.196875             0.207086                 0.197086                   0.207396     0.15952          0.13727
  5  0.242536   0.239826         0.221939             0.215607                 0.223304                   0.217356     0.176983         0.139513
  6  0.273384   0.25245          0.245878             0.224739                 0.246844                   0.225826     0.191873         0.141928
  7  0.297822   0.259214         0.267527             0.232432                 0.268739                   0.233637     0.203031         0.140987
  8  0.322786   0.266681         0.288991             0.240829                 0.288908                   0.240757     0.212958         0.141882
  9  0.337359   0.268603         0.307303             0.247927                 0.309017                   0.249249     0.22041          0.142931
 10  0.354971   0.269949         0.325096             0.251623                 0.32519                    0.251688     0.22914          0.14332
