  M        P_0      s_P_0    P_Forward_disp    s_P_Forward_disp    P_Forward_sample_disp    s_P_Forward_sample_disp    P_MLD_disp    s_P_MLD_disp
  1  0.0228776  0.0683415         0.0235003           0.0725556                0.0238702                  0.0749449     0.0227332       0.0673255
  2  0.040022   0.127111          0.0313498           0.0900223                0.0317286                  0.0919725     0.0287346       0.0751396
  3  0.062812   0.177426          0.040024            0.10505                  0.0403922                  0.10665       0.0356908       0.0838474
  4  0.0845042  0.215298          0.0465809           0.115764                 0.0469375                  0.117151      0.0403161       0.0876403
  5  0.108498   0.247132          0.0544818           0.125942                 0.0547519                  0.126894      0.0465917       0.0936417
  6  0.131888   0.27364           0.061596            0.13486                  0.0618609                  0.135718      0.0520303       0.0985305
  7  0.153687   0.293678          0.0696122           0.144727                 0.0699211                  0.145642      0.0578          0.103144
  8  0.176043   0.312039          0.0769423           0.152769                 0.0770973                  0.153197      0.0632002       0.107341
  9  0.194064   0.323865          0.0840307           0.159546                 0.084321                   0.160301      0.0685269       0.110979
 10  0.210838   0.334024          0.0905589           0.165965                 0.0909686                  0.166972      0.0730768       0.113679
