  M        P_0     s_P_0    P_Forward_disp    s_P_Forward_disp    P_Forward_sample_disp    s_P_Forward_sample_disp    P_MLD_disp    s_P_MLD_disp
  1  0.0878534  0.123651         0.0966593            0.149902                0.0975805                   0.152358     0.0860311        0.117406
  2  0.130576   0.167561         0.132695             0.172156                0.133389                    0.17363      0.11456          0.126437
  3  0.169764   0.199208         0.163739             0.188859                0.164139                    0.18957      0.137884         0.132708
  4  0.207472   0.222676         0.194438             0.204423                0.19509                     0.205395     0.158751         0.136772
  5  0.240301   0.239024         0.220523             0.215565                0.220966                    0.216139     0.175617         0.139108
  6  0.268761   0.250124         0.244923             0.225765                0.2451                      0.225964     0.189768         0.140675
  7  0.295405   0.259622         0.265593             0.233058                0.266606                    0.234072     0.201115         0.141176
  8  0.318152   0.26457          0.287083             0.240275                0.287613                    0.240744     0.21235          0.142559
  9  0.339851   0.26973          0.304587             0.24539                 0.304726                    0.2455       0.220807         0.143015
 10  0.358192   0.272679         0.322615             0.250994                0.322866                    0.251171     0.227689         0.142514
