  M    P_memoryless    s_P_memoryless    P_MLD_memoryless    s_P_MLD_memoryless
  1       0.0230222         0.0688436           0.0228486             0.0676298
  2       0.0481415         0.149787            0.0302213             0.0769415
  3       0.0712881         0.19531             0.0364137             0.0838306
  4       0.0936098         0.228775            0.0424239             0.0900839
  5       0.114542          0.254327            0.0480511             0.0948806
  6       0.13437           0.274861            0.0535361             0.0995192
  7       0.153085          0.291366            0.0589154             0.103387
  8       0.170138          0.304241            0.0643237             0.107508
  9       0.187978          0.31644             0.0696715             0.110948
 10       0.20386           0.326165            0.0744682             0.114039
