  M    P_memoryless    s_P_memoryless    P_MLD_memoryless    s_P_MLD_memoryless
  1       0.0903335          0.125013           0.0884084              0.118521
  2       0.162167           0.221509           0.116655               0.127451
  3       0.22171            0.264447           0.139851               0.132932
  4       0.273005           0.287494           0.159835               0.135895
  5       0.313287           0.298592           0.176215               0.1385
  6       0.347396           0.302528           0.191681               0.140537
  7       0.372292           0.302972           0.203867               0.142851
  8       0.39451            0.302062           0.213941               0.143317
  9       0.411264           0.299671           0.221903               0.142614
 10       0.424636           0.296426           0.229768               0.143257
