  M    Photons_mean    Photons_sig    Delta_q_mean    Delta_q_sig    Delta_p_mean    Delta_p_sig
  0         5.06234    9.09495e-13        0.3          4.9627e-14        0.300344    3.21965e-14
  1         8.92948    5.14388            0.300286     0.0865867         0.382634    0.0257916
  2        12.807      9.4365             0.299164     0.0859394         0.41239     0.0588994
  3        16.6176    12.9313             0.298009     0.0828857         0.424615    0.0692821
  4        19.945     15.4614             0.299225     0.0849988         0.431499    0.0769337
  5        23.036     17.7066             0.301184     0.0856287         0.437236    0.0832086
  6        26.0541    19.3519             0.300998     0.0820241         0.442515    0.0868969
  7        28.9456    20.8329             0.301739     0.082147          0.449879    0.0985153
  8        31.5966    21.8514             0.305164     0.0875329         0.456377    0.104154
  9        33.7412    22.5893             0.304515     0.0824964         0.461687    0.108878
 10        35.6648    23.1664             0.305691     0.084846          0.46501     0.110455
