  M    Photons_mean    Photons_sig    Delta_q_mean    Delta_q_sig    Delta_p_mean    Delta_p_sig
  0         2.44182    2.34479e-13        0.4         7.16094e-14        0.411582    4.55191e-15
  1         3.39158    1.54287            0.460063    0.129486           0.540396    0.0796398
  2         3.40406    1.66139            0.463126    0.114177           0.594406    0.112148
  3         3.38164    1.67401            0.464527    0.111818           0.605978    0.110685
  4         3.38696    1.70191            0.465835    0.111747           0.609551    0.109157
  5         3.37968    1.72155            0.466583    0.111649           0.612717    0.110755
  6         3.37973    1.72427            0.462438    0.107833           0.614482    0.110529
  7         3.39125    1.71713            0.464976    0.112486           0.615071    0.10963
  8         3.39452    1.71805            0.464349    0.110258           0.614897    0.110992
  9         3.40101    1.71602            0.464775    0.111381           0.612661    0.107946
 10         3.39918    1.70177            0.465498    0.112162           0.612741    0.108193
