  M    Photons_mean    Photons_sig    Delta_q_mean    Delta_q_sig    Delta_p_mean    Delta_p_sig
0           5.06234    9.05054e-13        0.3         5.02376e-14        0.300344    3.20854e-14
0.5         7.00384    2.0535             0.424357    9.45569e-05        0.236191    0.0325451
1           8.94912    5.2715             0.302401    0.0911076          0.382436    0.0250659
1.5        10.8877     6.99983            0.42811     0.0739316          0.280451    0.072249
2          12.753      9.18836            0.298982    0.0865262          0.412989    0.0593838
2.5        14.5636    10.6023             0.427694    0.0715497          0.292123    0.0785404
3          16.3694    12.4721             0.297602    0.0818578          0.424395    0.0695689
3.5        18.1205    13.8575             0.428928    0.0695104          0.294342    0.0769243
4          19.9858    15.4235             0.298855    0.0832659          0.4291      0.0725454
4.5        21.8295    16.5971             0.434469    0.0765678          0.298143    0.081933
5          23.4445    17.8544             0.300323    0.0844073          0.437015    0.0840934
