  M         P_0       s_P_0    P_Forward    s_P_Forward    P_Forward_sample    s_P_Forward_sample       P_MLD     s_P_MLD
  0  0.00289858  0.00606027   0.00289858     0.00606027          0.00289858            0.00606027  0.00289858  0.00606027
  1  0.0143754   0.036996     0.0143754      0.036996            0.0143754             0.036996    0.0143268   0.0363524
  2  0.033716    0.0787945    0.0339376      0.0800949           0.0340347             0.0806579   0.0330183   0.0745483
  3  0.0586824   0.119106     0.0579951      0.116529            0.0581348             0.117058    0.0544428   0.102109
  4  0.0882234   0.157187     0.0837964      0.14506             0.0837703             0.144985    0.076549    0.122299
  5  0.118213    0.18784      0.108261       0.166089            0.108449              0.166532    0.0963136   0.134471
  6  0.147175    0.211591     0.130616       0.18114             0.130776              0.181466    0.114346    0.143273
  7  0.176506    0.232014     0.15218        0.193649            0.152254              0.193782    0.130952    0.149274
  8  0.203569    0.247025     0.172347       0.203803            0.172478              0.204014    0.146113    0.153807
  9  0.229659    0.25928      0.191761       0.212836            0.191863              0.212984    0.159498    0.156104
