  M        P_0      s_P_0    P_Forward    s_P_Forward    P_Forward_sample    s_P_Forward_sample      P_MLD    s_P_MLD
  0  0.0265928  0.0224202    0.0265928      0.0224202           0.0265928             0.0224202  0.0265928  0.0224202
  1  0.0681525  0.0656392    0.0685525      0.0682194           0.0685416             0.06815    0.0681497  0.065621
  2  0.112814   0.104836     0.116394       0.117261            0.116326              0.117037   0.1121     0.102162
  3  0.15513    0.135473     0.163408       0.1549              0.163374              0.154826   0.150939   0.124278
  4  0.19402    0.159545     0.206179       0.180963            0.206239              0.181062   0.182882   0.13607
  5  0.228751   0.178297     0.243726       0.199222            0.243662              0.199139   0.207775   0.141317
  6  0.260805   0.192665     0.277995       0.212244            0.277895              0.212139   0.228271   0.143168
  7  0.288751   0.203765     0.30773        0.221763            0.307571              0.221625   0.243557   0.142771
  8  0.313134   0.212339     0.333057       0.228335            0.333082              0.228353   0.255335   0.141936
  9  0.334864   0.218434     0.355493       0.232596            0.355544              0.232628   0.264856   0.140323
